game_name,active_plyrs(min),active_plyrs(24hrs),pos_reviews,gross_rev,units_sold
Spice&Wolf VR2,0,2,97.50%,242000,14160
Angry Birds VR: Isle of Pigs,1,7,90.80%,83035,7329
Bartender VR Simulator,0,3,61.70%,54978,3725
Tales Of Glory 2 - Retaliation,1,3,74%,84902,6000
SoundSelf: A Technodelic,0,1,80.80%,90481,4380
Baby Hands,0,3,77%,25268,1734
TOTALLY BASEBALL,4,4,93.30%,43940,4020
VR Regatta - The Sailing Game,0,1,86.60%,181000,17456
Sniper Elite VR,1,5,55.20%,401000,19830
Ayahuasca,0,2,79.80%,87933,9780
theBlu,0,7,71.40%,0,2730
VR Dungeon Knight,0,4,77.90%,848000,62410
Serious Sam VR: The First Encounter,0,12,86.70%,1 000 000,39100
Audio Trip,2,5,89.60%,146000,9760
In Death,1,7,84.80%,517000,28982
Carly and the Reaperman - Escape from the Underworld,0,3,91.40%,41095,2770
Evochron Legacy SE,4,6,82.40%,419000,22084
Emily Wants To Play,2,6,78.90%,375000,106000
Serious Sam 3 VR: BFE,1,11,85.70%,764000,31184
Desktop Portal,3,5,85.70%,15094,2100
The Walking Dead Onslaught,0,3,43.80%,650000,28740
Holopoint,0,2,89.70%,606000,65296
Crazy Fishing,0,2,53.70%,116000,8199
Last Labyrinth,0,0,80%,69713,2550
Pickup Basketball VR,0,2,81.30%,15657,2250
OhShape,0,4,80%,110000,8130
V-Racer Hoverbike,0,2,89.80%,124000,8304
Hatsune Miku VR,0,2,72.30%,197000,11690
Sail,0,2,87.20%,16701,1410
Knockout League - Arcade VR Boxing,1,3,78.60%,385000,21226
New Retro Arcade: Neon,1,3,79.20%,441000,28415
Falcon Age,0,3,78.60%,68622,5190
PAGAN PEAK VR,1,1,83.50%,9284,1542
Sprint Vector,0,4,84.40%,559000,27821
Presentiment of Death,0,1,90.30%,11156,930
Epic Roller Coasters,7,44,62%,0,15156
Sweet Surrender VR,0,2,84%,56454,3000
Sport Mode,0,3,85.50%,98125,13020
Nature Treks VR,0,2,84.90%,80528,10980
Escape First,5,6,66.40%,146000,32495
The Brookhaven Experiment,1,4,86.10%,1 300 000,87317
QuiVr,0,7,90%,557000,36889
vrkshop,1,2,83.90%,72352,4710
TO THE TOP,2,6,86.40%,606000,38818
2MD:VR Football Unleashed ALL✰STAR,0,1,94.10%,5741,510
TOKYO CHRONOS,0,1,87.50%,200000,6978
Tales of Escape,2,36,64.90%,34930,376000
The Exorcist: Legion VR - Chapter 1: First Rites,0,1,73.80%,47445,12955
The Invisible Hours,1,3,93.50%,178000,8367
Racket: Nx,1,1,96.20%,260000,17681
Just In Time Incorporated,1,4,81.10%,200000,20448
Apollo 11 VR HD,1,4,80%,48490,7008
Lightblade VR,0,2,79.90%,107000,33734
Warhammer Age of Sigmar: Tempestfall,0,2,68.60%,125000,5550
